Date,0
2025-10-29,100000.0
2025-10-30,100000.0
2025-10-31,100064.4800415039
2025-11-03,100101.49114990234
2025-11-04,99867.28216552734
2025-11-05,99934.9429321289
2025-11-06,99724.73364257812
2025-11-07,99743.81622314453
2025-11-10,100046.5532836914
2025-11-11,100091.65869140625
2025-11-12,100102.64697265625
2025-11-13,99774.75439453125
2025-11-14,99771.57543945312
2025-11-17,99590.56970214844
2025-11-18,99428.93859863281
2025-11-19,99502.67053222656
2025-11-20,99210.6332397461
2025-11-21,99398.57745361328
2025-11-24,99679.04766845703
2025-11-25,99860.92071533203
2025-11-26,99995.66345214844
2025-11-28,100102.93548583984
2025-12-01,100012.72290039062
2025-12-02,100049.15521240234
2025-12-03,100117.3930053711
2025-12-04,100131.85052490234
2025-12-05,100169.43865966797
2025-12-08,100109.87573242188
2025-12-09,100092.81451416016
2025-12-10,100223.79949951172
2025-12-11,100270.06072998047
2025-12-12,100055.80517578125
2025-12-15,100026.02282714844
2025-12-16,99972.24255371094
2025-12-17,99756.25061035156
2025-12-18,99902.84539794922
2025-12-19,100080.12524414062
2025-12-22,100203.0849609375
2025-12-23,100293.85510253906
2025-12-24,100364.0346069336
2025-12-26,100362.00439453125
2025-12-29,100290.66375732422
2025-12-30,100266.30474853516
2025-12-31,100118.69396972656
2026-01-02,100154.94396972656
2026-01-05,100286.89361572266
2026-01-06,100405.50439453125
2026-01-07,100340.8349609375
2026-01-08,100338.80474853516
2026-01-09,100471.04467773438
2026-01-12,100502.65368652344
2026-01-13,100462.34503173828
2026-01-14,100363.45404052734
2026-01-15,100417.9741821289
2026-01-16,100401.15368652344
2026-01-20,99992.8349609375
2026-01-21,100219.61517333984
2026-01-22,100323.43389892578
2026-01-23,100330.68389892578
2026-01-26,100432.18389892578
2026-01-27,100512.2241821289
2026-01-28,100510.19396972656
